car_ID,aspiration,carbody,enginelocation,enginetype,fuelsystem,price,carclass,brandavg,carspace,averagempg,performancebalance,enginedisplacement
2,std,convertible,front,dohc,mpfi,16500.0,2.0,16500.0,958659.088,23.333333333333332,171582.32,1638.3086432436294
4,std,sedan,front,ohc,mpfi,13950.0,3.0,17710.0,1166753.8159999999,26.373626373626372,124592.68411588411,2827.160784068121
5,std,sedan,front,ohc,mpfi,17450.0,3.0,17710.0,1165588.256,19.603960396039604,157428.21386138612,5968.450544143811
6,std,sedan,front,ohc,mpfi,15250.0,3.0,17710.0,1173148.0019999999,21.30044843049327,145248.60986547082,5968.450544143811
7,std,sedan,front,ohc,mpfi,17710.0,3.0,17710.0,1455678.924,21.30044843049327,164773.45291479817,5968.450544143811
8,std,wagon,front,ohc,mpfi,18920.0,3.0,17710.0,1455678.924,21.30044843049327,171146.54708520178,5968.450544143811
9,turbo,sedan,front,ohc,mpfi,23875.0,3.0,17710.0,1455678.924,18.230563002680963,187599.91810870092,5746.043487772575
10,turbo,hatchback,front,ohc,mpfi,17859.167,3.0,17710.0,1203928.11,18.238341968911918,212197.7367875648,5746.043487772575
12,std,sedan,front,ohc,mpfi,16925.0,3.0,27662.5,1159411.9679999999,25.36121673003802,114233.3041825095,1900.8269182398112
14,std,sedan,front,ohc,mpfi,21105.0,3.0,27662.5,1159411.9679999999,23.661971830985912,305482.51466445724,5865.9345480283655
15,std,sedan,front,ohc,mpfi,24565.0,3.0,27662.5,1308664.35,21.978021978021975,313501.84873949573,5865.9345480283655
16,std,sedan,front,ohc,mpfi,30760.0,3.0,27662.5,1308664.35,18.238341968911918,414965.3087699098,8420.258254361397
17,std,sedan,front,ohc,mpfi,41315.0,3.0,27662.5,1361958.5700000003,18.238341968911918,434236.14354250627,8420.258254361397
18,std,sedan,front,ohc,mpfi,36880.0,3.0,27662.5,1536403.0000000002,16.901408450704224,417286.979655712,8420.258254361397
20,std,hatchback,front,ohc,2bbl,6295.0,0.0,6435.0,936990.1799999999,40.09815950920245,87667.94274028631,1952.0854071557167
21,std,sedan,front,ohc,2bbl,6575.0,0.0,6435.0,954419.76,40.09815950920245,89305.28425357872,1952.0854071557167
25,std,hatchback,front,ohc,2bbl,6229.0,1.0,8558.0,940348.838,33.80200860832138,73983.62394678492,2101.1296746828243
27,std,sedan,front,ohc,2bbl,7609.0,1.0,8558.0,940348.838,33.80200860832138,74811.09711751663,2101.1296746828243
28,turbo,sedan,front,ohc,mpfi,8558.0,1.0,8558.0,940348.838,26.373626373626372,105020.91188811188,2528.2309433952346
29,std,wagon,front,ohc,2bbl,8921.0,1.0,8558.0,1165137.2279999997,26.373626373626372,143555.65714285715,3266.2815730872017
30,turbo,hatchback,front,ohc,mfi,12964.0,1.0,8558.0,1101235.0439999998,20.96551724137931,266617.728,5434.144885469421
31,std,hatchback,front,ohc,1bbl,6479.0,0.0,7295.0,800178.8039999999,51.130434782608695,97366.92,2373.457752853161
33,std,hatchback,front,ohc,1bbl,5399.0,0.0,7295.0,899520.0,39.701492537313435,62853.81492537314,1731.9426026572107
35,std,hatchback,front,ohc,1bbl,7129.0,0.0,7295.0,899520.0,31.67701863354037,72204.34285714285,2373.457752853161
36,std,sedan,front,ohc,1bbl,7295.0,0.0,7295.0,1009158.4,31.67701863354037,74197.71428571428,2373.457752853161
37,std,wagon,front,ohc,1bbl,7295.0,0.0,7295.0,968733.5849999998,31.67701863354037,74714.51428571428,2389.798205492045
38,std,hatchback,front,ohc,1bbl,7895.0,0.0,7295.0,1053876.5,29.405940594059402,107243.26254694433,3218.1225483632606
40,std,sedan,front,ohc,1bbl,8845.0,0.0,7295.0,1103581.7200000002,29.405940594059402,110504.68555821099,3218.1225483632606
41,std,sedan,front,ohc,1bbl,10295.0,0.0,7295.0,1057881.25,29.405940594059402,113766.10856947761,3218.1225483632606
45,std,sedan,front,ohc,2bbl,8916.5,1.0,8916.5,936990.1799999999,40.09815950920245,87667.94274028631,1952.0854071557167
46,std,sedan,front,ohc,2bbl,8916.5,1.0,8916.5,936990.1799999999,40.09815950920245,89305.28425357872,1952.0854071557167
47,std,hatchback,front,ohc,spfi,11048.0,1.0,8916.5,1080337.92,26.018691588785043,152371.39020560746,2802.3875692589154
48,std,sedan,front,dohc,mpfi,32250.0,3.0,35550.0,1569814.0799999998,16.569767441860463,644054.3999999999,15759.070235127896
49,std,sedan,front,dohc,mpfi,35550.0,3.0,35550.0,1569814.0799999998,16.569767441860463,644054.3999999999,15759.070235127896
50,std,sedan,front,ohcv,mpfi,36000.0,3.0,35550.0,1380470.0399999998,14.539473684210526,981057.9657894737,7449.48332533176
51,std,hatchback,front,ohc,2bbl,5195.0,0.0,5645.0,950943.8819999999,30.44189852700491,71205.5489361702,2028.3799507850583
52,std,hatchback,front,ohc,2bbl,6095.0,0.0,5645.0,950943.8819999999,33.80200860832138,79483.39512195122,2028.3799507850583
53,std,hatchback,front,ohc,2bbl,6795.0,2.0,10945.0,950943.8819999999,33.80200860832138,79692.56195121953,2028.3799507850583
54,std,sedan,front,ohc,2bbl,6695.0,2.0,10945.0,996966.9360000001,33.80200860832138,81365.89658536586,2028.3799507850583
55,std,sedan,front,ohc,2bbl,7395.0,2.0,10945.0,996966.9360000001,33.80200860832138,81575.06341463416,2095.875520387694
56,std,hatchback,front,rotor,4bbl,10945.0,2.0,10945.0,1058144.49,19.261083743842363,54016.42528735632,3904.5831825673195
57,std,hatchback,front,rotor,4bbl,11845.0,2.0,10945.0,1058144.49,19.261083743842363,54016.42528735632,3904.5831825673195
58,std,hatchback,front,rotor,4bbl,13645.0,2.0,10945.0,1058144.49,19.261083743842363,54129.90517241379,3904.5831825673195
64,std,sedan,front,ohc,idi,10795.0,2.0,10945.0,1168181.56,38.473282442748086,157822.73292292535,3164.6878655243368
65,std,hatchback,front,ohc,2bbl,11245.0,2.0,10945.0,1168181.56,28.395904436860068,147016.24573378838,3164.6878655243368
67,std,sedan,front,ohc,idi,18344.0,2.0,10945.0,1213430.7499999998,34.152542372881356,211823.8256658596,4010.742516493701
68,turbo,sedan,front,ohc,idi,25552.0,3.0,32892.0,1476229.7,23.25581395348837,422983.88131515635,9223.88089788181
69,turbo,wagon,front,ohc,idi,28248.0,3.0,32892.0,1476229.7,23.25581395348837,451263.0312750601,9223.88089788181
71,turbo,sedan,front,ohc,idi,31600.0,3.0,32892.0,1679254.152,23.25581395348837,453669.76744186046,9223.88089788181
72,std,sedan,front,ohcv,mpfi,34184.0,3.0,32892.0,1679254.152,16.842105263157894,480974.3601108033,9803.817198119164
73,std,convertible,front,ohcv,mpfi,35056.0,3.0,32892.0,1227897.09,16.842105263157894,473901.2077562326,9803.817198119164
75,std,hardtop,front,ohcv,mpfi,45400.0,3.0,32892.0,1606348.8,14.834437086092713,685028.7234731419,14923.11686639626
76,turbo,hatchback,front,ohc,mpfi,16503.0,3.0,16503.0,1245874.2400000002,20.96551724137931,298947.31034482754,3067.4661049497795
77,std,hatchback,front,ohc,2bbl,5389.0,1.0,8499.0,949192.2440000001,38.69897959183673,84427.1574025974,2101.1296746828243
79,std,hatchback,front,ohc,2bbl,6669.0,1.0,8499.0,949192.2440000001,33.80200860832138,77050.28966740577,2101.1296746828243
80,turbo,hatchback,front,ohc,spdi,7689.0,1.0,8499.0,933323.82,26.373626373626372,102816.0,2528.2309433952346
81,turbo,hatchback,front,ohc,spdi,9959.0,1.0,8499.0,1089557.46,25.69832402234637,141299.66480446927,2942.2475617444134
82,std,hatchback,front,ohc,2bbl,8499.0,1.0,8499.0,1089557.46,27.72963604852686,138611.62149046792,3285.8694246809778
84,turbo,hatchback,front,ohc,spdi,14869.0,1.0,8499.0,1101235.0439999998,20.96551724137931,277051.008,5239.419860266744
87,std,sedan,front,ohc,2bbl,8189.0,1.0,8499.0,1085778.648,27.72963604852686,143196.28422876948,3285.8694246809778
88,turbo,sedan,front,ohc,spdi,9279.0,1.0,8499.0,1085778.648,25.69832402234637,143267.1284916201,2942.2475617444134
89,std,sedan,front,ohc,spdi,9279.0,1.0,8499.0,1085778.648,25.69832402234637,143267.1284916201,2942.2475617444134
90,std,sedan,front,ohc,2bbl,5499.0,0.0,5499.0,996610.23,33.440233236151606,81305.27763511999,2497.705281832089
91,std,sedan,front,ohc,idi,7099.0,0.0,7999.0,996610.23,47.12041884816753,112169.22447643978,2640.3602858643285
92,std,sedan,front,ohc,2bbl,6649.0,0.0,7999.0,996610.23,33.440233236151606,82553.47935635793,2497.705281832089
93,std,sedan,front,ohc,2bbl,6849.0,0.0,7999.0,996610.23,33.440233236151606,83414.30812962548,2497.705281832089
94,std,wagon,front,ohc,2bbl,7349.0,0.0,7999.0,1026152.8199999998,33.440233236151606,87115.87185467593,2497.705281832089
95,std,sedan,front,ohc,2bbl,7299.0,0.0,7999.0,996610.23,33.440233236151606,83973.8468322494,2497.705281832089
96,std,hatchback,front,ohc,2bbl,7799.0,0.0,7999.0,998418.9599999998,33.440233236151606,87288.03760932945,2497.705281832089
97,std,sedan,front,ohc,2bbl,7499.0,0.0,7999.0,996610.23,33.440233236151606,84834.67560551694,2497.705281832089
98,std,wagon,front,ohc,2bbl,7999.0,0.0,7999.0,1026152.8199999998,33.440233236151606,87675.41055729985,2497.705281832089
99,std,hardtop,front,ohc,2bbl,8249.0,0.0,7999.0,985342.512,33.440233236151606,86427.20883606191,2497.705281832089
100,std,hatchback,front,ohc,2bbl,8949.0,0.0,7999.0,1098912.0960000001,29.756888168557534,154800.8258321905,3274.984751168437
101,std,sedan,front,ohc,2bbl,9549.0,0.0,7999.0,1098912.0960000001,29.756888168557534,153335.4135394589,3274.984751168437
102,std,sedan,front,ohcv,mpfi,13499.0,0.0,7999.0,1213138.22,18.93670886075949,310087.29659201554,6784.856615922642
103,std,wagon,front,ohcv,mpfi,14399.0,0.0,7999.0,1232500.36,18.93670886075949,330225.43766309635,6784.856615922642
105,std,hatchback,front,ohcv,mpfi,17199.0,0.0,7999.0,1058215.389,21.30044843049327,364303.86340117274,6784.856615922642
106,turbo,hatchback,front,ohcv,mpfi,19699.0,0.0,7999.0,1058215.389,19.261083743842363,420898.3876468359,6784.856615922642
108,std,sedan,front,l,mpfi,11900.0,2.0,16137.5,1377913.212,20.96551724137931,147399.32689655173,2746.987211371215
109,turbo,sedan,front,l,idi,13200.0,2.0,16137.5,1377913.212,30.048780487804873,334263.21339994116,4220.499268892679
110,std,wagon,front,l,mpfi,12440.0,2.0,16137.5,1553663.5920000002,20.96551724137931,157648.94896551722,2746.987211371215
112,std,sedan,front,l,mpfi,15580.0,2.0,16137.5,1377913.212,20.96551724137931,146989.24137931035,888.8263740779386
113,turbo,sedan,front,l,idi,16900.0,2.0,16137.5,1377913.212,30.048780487804873,340013.75351160736,4220.499268892679
114,std,wagon,front,l,mpfi,16695.0,2.0,16137.5,1553663.5920000002,20.96551724137931,157027.53103448273,888.8263740779386
115,turbo,wagon,front,l,idi,17075.0,2.0,16137.5,1553663.5920000002,24.999999999999996,303153.01204819273,4220.499268892679
117,turbo,sedan,front,l,idi,17950.0,2.0,16137.5,1377913.212,30.048780487804873,340013.75351160736,4220.499268892679
119,std,hatchback,front,ohc,2bbl,5572.0,0.0,6919.0,940348.838,38.69897959183673,82591.7844155844,2101.1296746828243
121,std,hatchback,front,ohc,2bbl,6229.0,0.0,6919.0,940348.838,33.80200860832138,73983.62394678492,2101.1296746828243
123,std,sedan,front,ohc,2bbl,7609.0,0.0,6919.0,1000129.438,33.80200860832138,89734.03246119735,2101.1296746828243
125,turbo,hatchback,front,ohc,spdi,12764.0,0.0,6919.0,1101235.0439999998,20.96551724137931,267281.664,5239.419860266744
126,std,hatchback,front,ohc,mpfi,22018.0,3.0,31964.25,1090139.715,21.923076923076923,239102.46,3300.699607502803
127,std,hardtop,rear,ohcf,mpfi,32528.0,3.0,31964.25,982575.75,19.859813084112147,372541.30682718195,5626.604305547338
128,std,hardtop,rear,ohcf,mpfi,34028.0,3.0,31964.25,982575.75,19.859813084112147,372541.30682718195,5626.604305547338
131,std,wagon,front,ohc,mpfi,9295.0,1.0,9295.0,1159902.9749999999,26.021897810218977,156327.92872477457,5019.707477691799
133,std,hatchback,front,ohc,mpfi,11850.0,2.0,15040.0,1229721.99,23.661971830985912,159450.05070422534,2563.0320756083534
134,std,sedan,front,ohc,mpfi,12170.0,2.0,15040.0,1229721.99,23.661971830985912,161669.63380281688,2563.0320756083534
135,std,hatchback,front,ohc,mpfi,15040.0,2.0,15040.0,1229721.99,23.661971830985912,162389.4985915493,404.4928604195408
136,std,sedan,front,ohc,mpfi,15510.0,2.0,15040.0,1229721.99,23.661971830985912,165448.92394366194,2563.0320756083534
138,turbo,sedan,front,dohc,mpfi,18620.0,2.0,15040.0,1229721.99,21.61925601750547,216656.07702407005,2563.0320756083534
140,std,hatchback,front,ohcf,2bbl,7053.0,2.0,9960.0,940976.628,28.03478260869565,106494.45438735177,1704.3599191020874
142,std,sedan,front,ohcf,2bbl,7126.0,2.0,9960.0,1093383.36,34.07194244604316,134840.56402877695,1704.3599191020874
144,std,sedan,front,ohcf,mpfi,9960.0,2.0,9960.0,1093383.36,28.395904436860068,129723.84982935153,1704.3599191020874
146,turbo,sedan,front,ohcf,mpfi,11259.0,2.0,9960.0,1091133.6,26.018691588785043,163104.02242990653,1704.3599191020874
148,std,wagon,front,ohcf,mpfi,10198.0,2.0,9960.0,1100649.3,27.385159010600706,131254.74993204675,1704.3599191020874
149,std,wagon,front,ohcf,2bbl,8013.0,2.0,9960.0,1100148.3360000001,25.36121673003802,113235.29657794676,1704.3599191020874
150,turbo,wagon,front,ohcf,mpfi,11694.0,2.0,9960.0,1100148.3360000001,23.0,152222.625,1704.3599191020874
151,std,hatchback,front,ohc,2bbl,5348.0,1.0,9258.0,965930.724,36.69354838709677,86554.27083333331,1829.1947869416338
154,std,wagon,front,ohc,2bbl,6918.0,1.0,9258.0,1032882.444,33.440233236151606,90602.96793002916,1829.1947869416338
155,std,wagon,front,ohc,2bbl,7898.0,1.0,9258.0,1032882.444,29.04201680672269,79031.556302521,1829.1947869416338
156,std,wagon,front,ohc,2bbl,8778.0,1.0,9258.0,1032882.444,29.04201680672269,107331.0655462185,1829.1947869416338
158,std,hatchback,front,ohc,2bbl,7198.0,1.0,9258.0,1024920.2040000001,32.7917282127031,98837.95790251107,2000.974906895648
161,std,sedan,front,ohc,2bbl,7738.0,1.0,9258.0,1024920.2040000001,41.583236321303836,124445.11175785794,2000.974906895648
162,std,hatchback,front,ohc,2bbl,8358.0,1.0,9258.0,1024920.2040000001,30.415335463258785,92240.33439829605,2000.974906895648
163,std,sedan,front,ohc,2bbl,9258.0,1.0,9258.0,1024920.2040000001,30.415335463258785,93022.76890308838,2000.974906895648
164,std,sedan,front,ohc,2bbl,8058.0,1.0,9258.0,1020297.6,31.055118110236215,96266.5960629921,2000.974906895648
165,std,hatchback,front,ohc,2bbl,8238.0,1.0,9258.0,1020297.6,31.055118110236215,97819.99895013121,2000.974906895648
166,std,sedan,front,dohc,mpfi,9298.0,1.0,9258.0,1020297.6,27.269439421338156,102717.53279631761,2168.0762934165605
169,std,hardtop,front,ohc,mpfi,9639.0,1.0,9258.0,1137378.0479999997,26.373626373626372,235987.34065934067,3971.4917518146976
170,std,hatchback,front,ohc,mpfi,9989.0,1.0,9258.0,1137378.0479999997,26.373626373626372,237383.16483516485,3971.4917518146976
172,std,hatchback,front,ohc,mpfi,11549.0,1.0,9258.0,1137378.0479999997,26.373626373626372,252551.12087912086,3971.4917518146976
173,std,convertible,front,ohc,mpfi,17669.0,1.0,9258.0,1137378.0479999997,26.373626373626372,276838.46153846156,3971.4917518146976
175,turbo,sedan,front,ohc,idi,10698.0,1.0,9258.0,1195765.76,31.27962085308057,138425.5292259084,2841.5958984293575
178,std,hatchback,front,ohc,mpfi,11248.0,1.0,9258.0,1195765.76,29.04201680672269,190768.65536614644,3435.564958393957
179,std,hatchback,front,dohc,mpfi,16558.0,1.0,9258.0,1278321.5550000002,21.62162162162162,340674.6611226611,6630.390429668501
181,std,sedan,front,dohc,mpfi,15690.0,1.0,9258.0,1305069.1500000001,21.62162162162162,347287.13513513515,6630.390429668501
182,std,wagon,front,dohc,mpfi,15750.0,2.0,15750.0,1305069.1500000001,20.96551724137931,319081.12551724137,6630.390429668501
183,std,sedan,front,ohc,idi,7775.0,0.0,7775.0,1094269.8549999997,40.57210965435042,96396.6615415177,2517.1096411921626
184,std,sedan,front,ohc,mpfi,7975.0,1.0,9495.0,1094269.8549999997,29.756888168557534,116003.03422088445,2827.160784068121
186,std,sedan,front,ohc,mpfi,8195.0,1.0,9495.0,1094269.8549999997,29.756888168557534,116160.57568881684,2827.160784068121
187,std,sedan,front,ohc,mpfi,8495.0,1.0,9495.0,1094269.8549999997,29.756888168557534,119468.94651539707,2827.160784068121
188,turbo,sedan,front,ohc,idi,9495.0,1.0,9495.0,1094269.8549999997,39.094339622641506,132887.08145911948,2517.1096411921626
189,std,sedan,front,ohc,mpfi,9995.0,1.0,9495.0,1094269.8549999997,28.395904436860068,129433.69531492399,2827.160784068121
191,std,hatchback,front,ohc,mpfi,9980.0,2.0,9980.0,1002153.6,26.018691588785043,103071.91136788444,2827.160784068121
192,std,sedan,front,ohc,mpfi,13295.0,1.0,9495.0,1210360.1520000002,20.96551724137931,151746.73655172414,5968.450544143811
193,turbo,sedan,front,ohc,idi,13845.0,1.0,9495.0,1210360.1520000002,35.07692307692308,132599.21887179487,2517.1096411921626
195,std,sedan,front,ohc,mpfi,12940.0,3.0,18420.0,1323291.648,25.009708737864077,216785.4891909385,3156.8042445508854
198,std,wagon,front,ohc,mpfi,16515.0,3.0,18420.0,1323291.648,25.64885496183206,232250.89465648856,3156.8042445508854
199,turbo,sedan,front,ohc,mpfi,18420.0,3.0,18420.0,1323291.648,18.93670886075949,238111.2911392405,2895.217487072915
200,turbo,wagon,front,ohc,mpfi,18950.0,3.0,18420.0,1323291.648,18.93670886075949,246869.4075949367,2895.217487072915
201,std,sedan,front,ohc,mpfi,16845.0,3.0,18420.0,1419207.712,25.009708737864077,219763.31184466017,3156.8042445508854
202,turbo,sedan,front,ohc,mpfi,19045.0,3.0,18420.0,1417147.904,21.30044843049327,276445.4183941111,3156.8042445508854
204,turbo,sedan,front,ohc,idi,22470.0,3.0,18420.0,1419207.712,26.440677966101692,272368.12288135587,5873.25582944838
